Predicted Values,Actual Values
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
talk.politics.guns,comp.os.ms-windows.misc
sci.space,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.os.ms-windows.misc,comp.os.ms-windows.misc
comp.sys.mac.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
sci.space,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
sci.crypt,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
talk.politics.mideast,comp.sys.ibm.pc.hardware
talk.politics.mideast,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
talk.politics.mideast,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
sci.electronics,comp.sys.ibm.pc.hardware
misc.forsale,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
sci.space,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
talk.politics.misc,comp.sys.ibm.pc.hardware
comp.graphics,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
rec.sport.hockey,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.graphics,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
talk.politics.mideast,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.crypt,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.graphics,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
rec.autos,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.windows.x,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
misc.forsale,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.space,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.windows.x,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.space,comp.sys.mac.hardware
rec.autos,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.ibm.pc.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
rec.autos,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
rec.autos,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.electronics,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
sci.med,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.windows.x,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
sci.med,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.os.ms-windows.misc,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
comp.sys.mac.hardware,comp.sys.mac.hardware
talk.politics.mideast,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
soc.religion.christian,comp.windows.x
talk.politics.misc,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
sci.med,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
sci.space,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.os.ms-windows.misc,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
talk.politics.mideast,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
sci.med,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
sci.med,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.sys.ibm.pc.hardware,comp.windows.x
comp.graphics,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
sci.med,comp.windows.x
comp.windows.x,comp.windows.x
talk.politics.mideast,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
talk.politics.mideast,comp.windows.x
comp.windows.x,comp.windows.x
comp.windows.x,comp.windows.x
talk.religion.misc,comp.windows.x
comp.os.ms-windows.misc,comp.windows.x
comp.windows.x,comp.windows.x
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
talk.politics.mideast,misc.forsale
misc.forsale,misc.forsale
talk.politics.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
sci.crypt,misc.forsale
misc.forsale,misc.forsale
talk.politics.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
comp.sys.ibm.pc.hardware,misc.forsale
misc.forsale,misc.forsale
sci.med,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
comp.sys.ibm.pc.hardware,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
talk.politics.mideast,misc.forsale
comp.os.ms-windows.misc,misc.forsale
comp.os.ms-windows.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
sci.electronics,misc.forsale
comp.graphics,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
sci.med,misc.forsale
comp.os.ms-windows.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
talk.politics.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
comp.graphics,misc.forsale
comp.sys.ibm.pc.hardware,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
comp.os.ms-windows.misc,misc.forsale
misc.forsale,misc.forsale
misc.forsale,misc.forsale
